"customer","purchase_amt","email","revenue","number_of_orders","number_of_orders2","recency_days","distance","weights","subclass","pred_purchase_amt"
3901,0,0,15,1,1,28,0.268688475325914,1,"3611",12.7045711291659
3902,0,0,643,18,324,45,0.60578599240618,1,"4734",40.8423081755218
3905,0,0,39.5,2,4,150,0.279380486586956,1,"3858",11.7983716547902
3906,0,1,122,4,16,277,0.31729312633149,1,"6542",14.5622091895233
3907,0,0,51,3,9,386,0.281508174592606,1,"1210",9.39535344889527
3910,0,1,246.5,6,36,69,0.386668826888309,1,"6543",22.0814932781833
3912,0,0,379.5,9,81,22,0.461815254395329,1,"4189",24.3854174363136
3913,88,0,297.95,5,25,619,0.380216136367001,1,"2534",9.22404825488723
3915,0,0,76,2,4,27,0.296678282558695,1,"6425",13.9994197880695
3916,0,0,162.5,5,25,24,0.348363078951748,1,"5143",17.5222350498115
3917,0,0,108.5,3,9,25,0.315146038542608,1,"796",15.159592416722
3918,0,0,24,1,1,395,0.259840729930261,1,"8089",8.03027072521297
3919,44.5,1,288.5,8,64,383,0.4028457387337,1,"6544",17.6964934520234
3921,0,0,158,5,25,43,0.345860689455825,1,"1868",17.100990211352
3923,0,1,234,7,49,18,0.389209009460324,1,"6545",24.4018788881387
3924,0,0,32,1,1,70,0.273177223033198,1,"4573",12.1933990171469
3925,41.45,0,233.5,7,49,22,0.388842466055786,1,"3715",20.3495888990308
3926,0,0,94.5,3,9,70,0.308281175614348,1,"8494",14.2564118168577
3927,0,1,172,8,64,17,0.369047022565878,1,"6546",24.8710109742276
3928,0,1,739.35,17,289,28,0.644008486773882,1,"6547",48.346229293694
3929,56,1,94,2,4,84,0.30128306249972,1,"6548",16.0220306878916
3930,0,1,97.95,3,9,639,0.289647271843287,1,"6550",8.61283202071976
3931,17.9,1,239.2,13,169,258,0.409127197118481,1,"6551",25.4975879846263
3933,29.5,1,216.45,4,16,158,0.358661986187341,1,"6552",17.6556467514502
3934,0,1,45,1,1,58,0.278117067710123,1,"6553",15.1533528382896
3935,0,1,207.5,5,25,385,0.352565111409403,1,"6554",14.2621377293718
3936,0,0,190,4,16,384,0.339581702437961,1,"6201",10.9241237988442
3938,0,0,68,2,4,55,0.292798280636829,1,"7705",13.473506309978
3940,0,0,49,1,1,405,0.268010892255341,1,"4638",8.05451194672412
3941,51.5,1,88.45,5,25,99,0.316851197058675,1,"6555",18.5717548150485
3942,0,0,92.8,4,16,140,0.311214340115086,1,"6720",13.8862128450028
3943,0,1,347.95,3,9,444,0.39477656849092,1,"6556",12.8431255005449
3947,69,1,463,14,196,29,0.51900367254719,1,"6557",37.5855452744765
3948,0,0,71,1,1,378,0.276527637667059,1,"5395",8.46324108462356
3949,0,0,78.5,2,4,402,0.284676784035177,1,"7667",8.79060139155915
3950,0,0,179,6,36,204,0.35390182907192,1,"2487",15.1770143305715
3951,0,1,347.5,11,121,363,0.44326726774702,1,"6559",21.8576979352247
3952,0,0,182.5,8,64,389,0.358926213007833,1,"4563",13.6666698051206
3953,0,1,307.5,8,64,50,0.424381602076612,1,"6560",25.7726594632191
3955,0,0,58.5,2,4,72,0.288786348239336,1,"743",13.1258742535672
3956,0,0,130.5,3,9,28,0.323400073447426,1,"6045",15.2996167169372
3957,149.25,1,194,5,25,123,0.357169983308092,1,"6561",19.1653000664613
3958,0,0,40,1,1,403,0.264998940383364,1,"5208",8.02887326204639
3960,0,1,434.8,9,81,47,0.484883559296862,1,"6562",28.9767804510965
3962,29.9,1,68,1,1,701,0.264850788042572,1,"6563",6.82777916847943
3963,0,0,188,4,16,30,0.352156106746218,1,"330",16.6981005158037
3965,91,0,204.35,8,64,76,0.379994665513576,1,"4425",19.880155930292
3966,0,0,147.95,3,9,29,0.330077384610614,1,"5939",15.436387526553
3967,0,0,104,4,16,337,0.308372888778012,1,"2861",10.9885745766441
3970,0,1,205.45,6,36,255,0.362580839628904,1,"6564",17.5370421419943
3972,0,0,100,6,36,145,0.325136838537826,1,"8078",15.5404398191484
3974,0,1,407.35,11,121,39,0.482718421799407,1,"6565",31.6684076046993
3975,0,1,249,5,25,339,0.371095967987693,1,"6566",15.4266321036347
3976,98.95,1,59,1,1,253,0.276502238018549,1,"6567",12.0864765991797
3977,0,1,68,2,4,97,0.291348908822881,1,"6568",15.5466800719055
3978,0,0,144,3,9,392,0.315327692113142,1,"3924",9.88399255664559
3980,0,0,44,1,1,417,0.265907549580318,1,"2837",7.90269184583525
3981,0,1,61,2,4,393,0.278786850599722,1,"6569",10.8175618086921
3982,0,1,293,5,25,50,0.400754079079093,1,"6570",21.9322111547726
3985,0,1,1174.8,18,324,94,0.794395349663206,1,"6571",57.2164899612329
3987,104,0,89,1,1,24,0.29500759394509,1,"2157",13.3413219125801
3988,0,1,648,7,49,21,0.567826376952478,1,"6572",30.0775401420115
3989,0,0,88.95,4,16,504,0.296935619646254,1,"8985",8.80299110091954
3990,0,1,39,1,1,598,0.258373353842476,1,"6573",7.68731269625743
3992,0,1,63,2,4,334,0.281477999196679,1,"6574",11.6550838893691
3993,0,1,197.65,8,64,365,0.3659750095157,1,"6575",17.163915734463
3994,24,0,386.5,10,100,31,0.469395680042227,1,"2539",25.4736644354317
3996,0,1,44.85,3,9,553,0.273761387630284,1,"6576",9.30560875995641
3997,0,0,401,12,144,19,0.484984182671216,1,"1346",28.6124062955966
3999,0,1,132,3,9,23,0.324157219006442,1,"6577",18.5756057832383
4000,0,0,573.9,19,361,17,0.579371118066313,1,"782",42.3020230917371
4002,0,1,44,2,4,196,0.279419474631694,1,"6579",13.6321640288857
4003,0,0,174.85,6,36,11,0.359627934174071,1,"8780",18.9107714765554
4004,212.5,0,139,3,9,18,0.327028942611777,1,"7912",15.5562520089496
4007,0,1,69,1,1,10,0.288263788894312,1,"6580",16.250889092729
4009,0,1,129,5,25,53,0.334104896384096,1,"6581",19.9986685565179
4010,0,1,52,1,1,337,0.271279291419015,1,"6582",10.8455061020264
4011,0,1,440.9,8,64,52,0.48205377017585,1,"6583",27.5467893554473
4012,0,1,190.5,6,36,18,0.365684794987974,1,"6584",22.6525182122347
4013,0,1,83,2,4,17,0.299589493762154,1,"6585",17.2049989490654
4016,0,1,381,8,64,17,0.457417050089738,1,"6586",27.7058409056801
4017,104.95,0,247.95,3,9,2,0.370885738910494,1,"7066",16.8663060976315
4018,0,0,39.5,2,4,494,0.267969396377662,1,"2883",7.59836795142283
4019,0,1,127,4,16,49,0.327516014507137,1,"6587",19.0068144869523
4020,49,0,238.5,5,25,6,0.379821360322142,1,"6706",18.661054259458
4021,0,1,39,1,1,101,0.274583203497398,1,"6589",14.3514651843125
4022,0,1,238,3,9,323,0.354481749778833,1,"6590",13.9218833974028
4023,0,1,49,1,1,114,0.277645532850826,1,"6591",14.2140453178755
4024,0,0,39.5,2,4,511,0.267413200150252,1,"3224",7.4286662122701
4025,0,0,44,1,1,383,0.267016691830715,1,"4527",8.263590621847
4027,0,1,263,4,16,11,0.383381094256773,1,"6592",21.3585343742401
4028,0,1,228,4,16,22,0.368588713621365,1,"6593",20.7044794733941
4029,0,1,76,2,4,484,0.281013793115811,1,"6594",9.73360459183556
4030,0,0,75,1,1,307,0.280313833772873,1,"4148",9.30105867438312
4031,0,1,24,1,1,425,0.258878936871038,1,"6596",9.53587145243173
4032,0,0,187,3,9,527,0.326810169977004,1,"7864",8.53750438093614
4033,0,0,129,1,1,4,0.310478336848988,1,"8536",13.9918824965269
4034,0,1,206.85,11,121,13,0.397591900718848,1,"6597",29.4208339230246
4035,0,1,244.45,9,81,66,0.402130366504807,1,"6598",25.7726210113118
4037,0,1,58,2,4,383,0.278067946317606,1,"6599",10.933464012556
4038,0,0,59,2,4,500,0.274513209729379,1,"6894",7.63460621224323
4039,0,1,420.9,12,144,72,0.491470867983713,1,"6600",32.2966679183042
4040,0,1,165,5,25,66,0.347764711940193,1,"6602",20.1036533846444
4041,0,1,803.65,24,576,29,0.675280087531446,1,"6603",64.2358491769923
4042,0,1,40,1,1,75,0.2757976070309,1,"6604",14.809455760099
4044,0,1,557,2,4,574,0.471744575211254,1,"6605",11.6970792007996
4045,0,1,73,2,4,51,0.294751219826741,1,"6606",16.4496504354058
4046,0,1,265.5,8,64,39,0.406986247360804,1,"6607",25.5113062859734
4048,0,0,801.4,18,324,85,0.668190950552011,1,"3842",42.3198750156614
4052,0,1,271.5,7,49,85,0.402218641629756,1,"6609",23.1620747524767
4053,0,1,117,4,16,298,0.314645435943613,1,"6610",14.1615952539307
4054,0,0,183.95,2,4,75,0.335734361219503,1,"3078",14.0846339837518
4055,0,1,49.5,1,1,404,0.268215253928841,1,"6611",9.95209407443383
4056,0,1,167,5,25,402,0.335935810057587,1,"6612",13.6463675360678
4057,0,1,321.85,9,81,235,0.428145422703652,1,"6613",22.3997059998047
4058,0,0,118.5,6,36,538,0.317887657426541,1,"3615",9.71898629679021
4059,0,1,188,3,9,22,0.346012044418565,1,"6614",19.1829316170198
4060,0,0,249,3,9,52,0.369368431838146,1,"1282",15.9258016851249
4063,0,0,169.5,5,25,15,0.351489924916614,1,"8696",17.773153888334
4066,0,1,45,3,9,128,0.288141435702316,1,"6615",15.671723445277
4067,0,0,157,7,49,404,0.343047773324106,1,"6385",12.4824244029866
4068,0,0,19,1,1,60,0.269013930200686,1,"1680",12.2473942702468
4069,0,1,1207.65,31,961,67,0.800412166410103,1,"6616",90.6232001312152
4070,0,1,149.8,4,16,715,0.312014983200636,1,"6618",8.59371505110558
4071,0,0,218,6,36,382,0.36275539023821,1,"4380",12.5476905823347
4073,0,0,328,2,4,419,0.380407980757235,1,"7441",10.0652658181556
4074,64,1,483.3,12,144,47,0.51978876659731,1,"6619",34.1340414975349
4075,0,1,105,4,16,646,0.297849474169945,1,"6620",9.13225064118179
4076,0,1,244,8,64,16,0.398862921519817,1,"6621",25.8481882849625
4077,119,1,802.95,22,484,110,0.671923780903832,1,"6622",55.8882036218688
4078,0,1,589.95,17,289,25,0.582243544608956,1,"6623",45.3503592661854
4081,0,1,88.5,2,4,75,0.299576897977929,1,"6625",16.1398527087038
4083,0,1,722.3,27,729,215,0.633857811549654,1,"6626",58.9152620577755
4084,0,0,64.9,2,4,462,0.277843940366269,1,"6273",8.05801259022047
4085,59.5,0,283.85,7,49,278,0.399670276111588,1,"8892",15.6339364651394
4088,0,1,44,1,1,492,0.263471326190642,1,"6627",8.85989566567767
4089,0,1,279.15,11,121,116,0.424032877971807,1,"6628",27.4437222153298
4090,0,0,252,13,169,84,0.421615292620018,1,"4423",25.9796775506391
4091,60,0,395.5,20,400,10,0.503657074384055,1,"3585",40.8334847291442
4092,0,0,29,1,1,2,0.274390410652914,1,"7879",13.2210884030981
4093,0,0,276.2,12,144,23,0.430689987544363,1,"2620",26.7356391188164
4094,0,1,390.95,12,144,40,0.479719971015378,1,"6630",32.8584229840913
4095,181.35,0,531.9,14,196,11,0.549727181700068,1,"5016",33.7360512204615
4096,0,1,69,1,1,57,0.286657088670064,1,"6631",15.383101939841
4097,0,1,29.5,1,1,391,0.261824168085893,1,"6632",9.99214594400379
4098,0,1,159.5,5,25,340,0.335318022038568,1,"6633",14.6292812441699
4100,0,0,297.5,6,36,396,0.394912710730618,1,"5730",12.9363299999521
4102,0,1,59,1,1,726,0.260991568263354,1,"6634",6.56136383870345
4103,0,1,258,7,49,33,0.398633192989938,1,"6635",24.3186571316933
4105,0,1,378.95,8,64,17,0.456527275165806,1,"6636",27.6768771149143
4106,0,1,68,2,4,28,0.293732247220674,1,"6637",16.8449424840604
4107,0,0,178.5,4,16,186,0.342487702655463,1,"2820",13.8222094895715
4109,0,0,207.5,11,121,30,0.397184716763943,1,"2260",24.3945609178221
4110,0,1,197,6,36,384,0.354231660542291,1,"6638",15.0238969233362
4111,0,0,39.9,2,4,691,0.261704377558201,1,"2663",5.82131351465853
4112,0,0,77.7,6,36,33,0.320695768195229,1,"428",17.4697484252411
4113,0,0,167,3,9,2,0.338494940296275,1,"563",16.1063454751198
4114,0,0,271.55,9,81,75,0.413213199095105,1,"2707",21.7428413200465
4115,0,0,490.85,10,100,10,0.515857907826904,1,"1661",27.4800672656704
4118,0,1,158.95,5,25,4,0.347711549422197,1,"6639",21.4589904442242
4120,0,1,127,5,25,306,0.324010742952291,1,"6641",14.9443770689015
4121,0,1,184,4,16,4,0.351550158923407,1,"6642",20.6213445886365
4122,0,0,285.5,8,64,564,0.394346618177719,1,"3756",11.7476735677854
4124,0,0,44,1,1,436,0.265289016138557,1,"2980",7.7068520523007
4125,0,1,372.45,7,49,232,0.439253655437209,1,"6643",20.8252904417222
4126,0,1,48.5,2,4,48,0.286024496645751,1,"6644",16.2779323290875
4127,0,0,284.15,10,100,560,0.403746228029376,1,"5424",13.2237077087887
4128,0,1,59,2,4,385,0.278352152393811,1,"6645",10.9128833174425
4129,0,1,316,6,36,170,0.411775420362939,1,"6646",20.5170481867868
4132,0,0,219,3,9,725,0.331873765279167,1,"2567",6.70330975167967
4133,0,0,240,6,36,28,0.385595931170105,1,"3552",19.2333862844085
4134,0,0,328.4,6,36,21,0.423096654636668,1,"96",20.3483619994187
4136,0,1,69.5,1,1,92,0.285642515293137,1,"6648",14.765838913651
4137,0,0,59,2,4,28,0.290477170213845,1,"8160",13.843578776296
4138,0,0,672,16,256,22,0.614524680339866,1,"2265",38.926839682359
4139,0,1,59,1,1,319,0.274304082996614,1,"6649",11.1396096092676
4141,0,1,78.5,3,9,436,0.289618524389178,1,"6651",11.0188689875207
4142,0,0,451,8,64,19,0.48784183916625,1,"3866",24.1559835600314
4143,0,0,44.5,3,9,140,0.287551610555144,1,"619",12.7226878814346
4144,266,1,355,3,9,74,0.412608007624491,1,"6652",19.8409454725052
4145,0,0,64,5,25,403,0.2969669835071,1,"4941",10.487727166416
4148,0,1,381,13,169,17,0.480177910655885,1,"6653",34.9931079835993
4149,0,1,69,1,1,693,0.265451748218861,1,"6654",6.90634471730795
4150,0,0,490.95,15,225,53,0.533312881165171,1,"3038",33.162556901634
4151,0,0,254.85,5,25,19,0.386066159467874,1,"7094",18.556688777377
4152,0,1,59,1,1,134,0.280492958549196,1,"6655",13.9604764963843
4153,0,1,1346,26,676,162,0.839342879053637,1,"6656",76.3842987558734
4154,0,1,1201.35,30,900,16,0.80169416292044,1,"6657",91.2080653532364
4159,0,1,133,3,9,23,0.324540528382687,1,"6658",18.5859394087234
4160,69,0,247.9,8,64,195,0.393348520210869,1,"3446",17.8078401566258
4162,0,0,188,5,25,413,0.343764362581281,1,"7822",11.1783466443805
4163,0,0,322,6,36,356,0.40680744036007,1,"6607",13.7738896572126
4164,0,1,128.9,3,9,375,0.310260420725013,1,"6659",12.2511032034234
4165,0,0,546.45,15,225,152,0.553297094755458,1,"7031",30.8617332321226
4166,0,1,572.7,14,196,2,0.56769030421404,1,"6660",40.6012234507825
4167,0,0,150,2,4,389,0.311278335071337,1,"7059",9.35361794436673
4170,0,1,69.95,3,9,172,0.295643297209001,1,"6661",15.0987487243587
4172,0,1,94.4,3,9,130,0.306112734622147,1,"6662",16.08464579707
4174,0,0,209.8,6,36,422,0.357910817262152,1,"8248",11.8888656410738
4175,0,0,178,6,36,470,0.343423274059097,1,"7379",10.9872299557908
4176,2,0,292,4,16,19,0.395121823010415,1,"6937",17.9319195871004
4178,0,1,163.5,7,49,486,0.342525908211437,1,"6663",13.8122497339502
4181,34.5,0,410.45,11,121,15,0.485072911866741,1,"5451",27.5300865269098
4182,0,0,29,1,1,391,0.26165517705319,1,"2952",8.09870272001764
4183,0,1,145,5,25,167,0.33610109090234,1,"6664",17.7426189103292
4185,0,1,316,8,64,5,0.429857117934735,1,"6665",27.1365962728467
4186,0,0,156,4,16,366,0.327035450716495,1,"3339",10.9416201638695
4187,0,0,118.5,3,9,26,0.318897000273067,1,"6476",15.2296224723802
4188,49.5,0,134,4,16,18,0.331363675401463,1,"1019",16.4192375120627
4189,0,1,38,1,1,381,0.265032745571031,1,"6666",10.1732051983564
4190,0,0,199,1,1,13,0.33694257562149,1,"4398",14.4221923934004
4191,0,0,178.5,6,36,37,0.360098993860222,1,"1329",18.4004898417442
4192,0,1,89,1,1,309,0.285212286732901,1,"6667",11.4872681636319
4193,59,1,194.5,5,25,44,0.360404476390205,1,"6668",20.9336499078895
4194,152,1,57,3,9,464,0.280998062792071,1,"6669",10.4991744306247
4195,0,0,352,8,64,19,0.444775442525358,1,"3459",22.9230115087574
4196,0,0,39.5,1,1,683,0.255830813997651,1,"2985",5.49409350183292
4199,0,0,39.5,3,9,514,0.273195391970571,1,"5378",7.89699638948117
4200,0,0,184,5,25,15,0.357292592425894,1,"3822",17.9182361212076
4203,0,0,80,2,4,21,0.298349812078319,1,"2947",14.1331981465487
4204,0,1,89,7,49,27,0.330536429720856,1,"6670",22.3787335185632
4205,0,0,438,9,81,25,0.487198967222925,1,"5135",25.0635705607695
4207,0,0,87.9,2,4,564,0.282524006648917,1,"5446",7.14463711222979
4208,0,0,339.5,4,16,104,0.411701226951894,1,"4358",16.7076825953422
4209,0,0,44,1,1,70,0.277364438997268,1,"3764",12.2818186694285
4210,0,0,189,7,49,369,0.357110186788502,1,"4041",13.2749842687552
4211,0,1,142.5,5,25,20,0.340614573345921,1,"6671",20.8974111123602
4212,0,0,228.85,11,121,568,0.384697397387707,1,"2068",13.4017874284452
4215,44,1,358,7,49,23,0.441621358146937,1,"6672",25.8944351798619
4217,0,1,307.4,12,144,62,0.442511929267399,1,"6673",30.8419718169797
4218,0,0,577,3,9,672,0.483830851084168,1,"2388",9.07079991802108
4219,148,0,39,1,1,18,0.277351048301916,1,"7601",13.0451259829998
4220,0,1,39.5,1,1,389,0.265283802474144,1,"6674",10.0801346617348
4222,0,1,58.5,2,4,148,0.286188143554689,1,"6675",14.5592171368511
4223,0,1,110,4,16,326,0.311008915951615,1,"6676",13.6387546827789
4225,0,1,208.5,4,16,23,0.360648548968382,1,"6677",20.4631094063271
4230,0,1,139,2,4,12,0.32071904237797,1,"6679",17.8576478504661
4231,0,1,58.5,2,4,36,0.290021954817434,1,"6680",16.6002059470931
4233,0,0,153,4,16,391,0.324965709761856,1,"7200",10.5847684825883
4234,0,1,477.5,11,121,3,0.514884054420762,1,"6681",33.973364599556
4235,0,0,338.5,7,49,57,0.431835462000677,1,"4549",20.7280412018147
4236,0,1,78.5,3,9,386,0.291338409176266,1,"6682",11.7239946084355
4238,0,1,68.5,2,4,24,0.29405227175264,1,"6683",16.9275930484764
4239,0,1,39,1,1,383,0.26530852485834,1,"6684",10.1538176335784
4241,0,1,45,1,1,387,0.267228416640811,1,"6686",10.140343514893
4242,0,1,120.5,5,25,12,0.332321990283746,1,"6687",20.8324816639662
4243,0,0,841.15,25,625,21,0.689372987488075,1,"5262",59.3386563674782
4244,0,1,240.95,10,100,43,0.406330777656992,1,"6688",27.6707604117168
4245,63,0,163.95,6,36,36,0.354294046051145,1,"1954",18.2725097210992
4246,143.5,1,227,5,25,112,0.370957260262259,1,"6689",19.7589450743781
4247,0,0,272,8,64,267,0.400562534828424,1,"4833",16.6191349166289
4248,0,0,99,1,1,617,0.278349110372233,1,"4001",6.26566312791073
4249,147,1,260,8,64,13,0.405712386297225,1,"6690",26.1455917609574
4250,0,0,125,1,1,209,0.301725538189676,1,"528",10.8639036047573
4253,0,0,39.95,1,1,257,0.269754896564595,1,"6371",9.69918543107339
4254,0,1,178.5,6,36,19,0.360791526479227,1,"6691",22.4833865310954
4255,0,1,86.5,3,9,316,0.296667671255393,1,"6692",12.8343675972524
4256,0,0,190,5,25,387,0.345534596085432,1,"367",11.5588703561249
4257,0,1,407,6,36,80,0.454515636921076,1,"6693",23.7662134920319
4259,39,0,461.5,8,64,25,0.492181119526204,1,"4428",24.1343594307458
4260,0,1,665.5,13,169,27,0.60267415608862,1,"6695",39.6673674124487
4262,0,1,258,10,100,74,0.412290051487297,1,"6696",27.0271529117991
4264,0,1,242,10,100,43,0.406773878656485,1,"6697",27.6855900912523
4265,101,1,153,5,25,568,0.324394017648792,1,"6698",11.0445264027177
4266,0,1,151,6,36,67,0.347954711272544,1,"6699",21.0189758465431
4267,0,1,381.5,5,25,353,0.426022307835268,1,"6700",16.375121021553
4268,24.95,0,110.45,4,16,257,0.313651352964867,1,"4773",12.1790154124482
4269,75,1,291.4,7,49,229,0.404811786129426,1,"6701",19.9909461730066
4270,0,0,35,1,1,687,0.254208626516763,1,"990",5.44672369764201
4273,0,0,860.1,26,676,19,0.695789168018886,1,"2887",62.0024822566728
4274,0,1,29,1,1,399,0.261397312829417,1,"6703",9.88809208582804
4275,8.95,0,158,5,25,426,0.331544860259925,1,"2045",10.7978377466622
4277,0,0,169,6,36,24,0.356776828759502,1,"2579",18.5748140486828
4278,0,1,249,6,36,12,0.389967096146488,1,"6704",23.5198348919737
4279,0,1,556.4,14,196,14,0.560186923769994,1,"6705",39.8394872109412
4280,0,1,243,5,25,53,0.379827661294634,1,"6706",21.2788965139135
4281,0,1,145,3,9,18,0.329342783494412,1,"6707",18.8161975213597
4283,0,0,211,2,4,436,0.332855355299885,1,"4760",9.15147720639099
4285,0,1,59,1,1,312,0.274536704715061,1,"6708",11.2370372694345
4287,89,1,307,8,64,48,0.424249511053532,1,"6709",25.8203767376888
4289,0,1,90,2,4,443,0.287387111822906,1,"6710",10.3426557754183
4290,77.45,0,248.85,3,9,18,0.370630004901433,1,"3891",16.5659236663053
4291,0,1,38,1,1,24,0.276800112963668,1,"6711",15.7064362793502
4292,0,0,326,5,25,19,0.415947950781652,1,"2402",19.3028397944865
4293,0,1,195.85,4,16,82,0.35330948162473,1,"6712",19.0251249447768
4295,0,0,380.95,8,64,59,0.455656167635719,1,"341",22.2907158348533
4296,0,1,114.8,4,16,489,0.306992942652005,1,"6713",11.2077239045791
4297,146.95,0,1103.35,29,841,3,0.775003854592465,1,"5053",76.2478529663255
4298,0,0,569.5,9,81,17,0.544910257210675,1,"2355",27.0550476707804
4299,0,0,255,7,49,205,0.390522337240726,1,"8072",16.7401799162586
4300,0,1,260.5,5,25,27,0.388093978615086,1,"6715",22.1009288133384
4301,0,0,63,3,9,424,0.284480170041466,1,"8428",9.01543185491192
4302,0,1,404.5,13,169,10,0.490736608786158,1,"6716",35.6343103131049
4303,18,1,223.5,9,81,368,0.381392208481189,1,"6717",18.3120408446644
4305,58.5,0,362,4,16,384,0.40991574683986,1,"8096",12.1297507333734
4308,89,0,301.55,11,121,553,0.415810905828229,1,"8638",14.241664082873
4310,0,1,292,3,9,169,0.382430904931435,1,"6718",17.2035065325947
4311,0,0,45,1,1,387,0.267228416640811,1,"7491",8.22572263940828
4312,0,1,30,2,4,12,0.280673917949482,1,"6719",16.7928316599696
4313,0,1,97.5,3,9,19,0.311222931220187,1,"6720",18.3048050264229
4314,0,1,780,2,4,247,0.582120074791628,1,"6721",19.5510468111332
4315,0,0,406.95,11,121,239,0.474214627535287,1,"7115",21.6361245810834
4316,228,1,54.5,2,4,134,0.285237161991275,1,"6722",14.7682202392741
4318,0,1,137.5,5,25,26,0.338428871761511,1,"6723",20.7029939541764
4319,0,1,112.95,3,9,26,0.31679223076913,1,"6724",18.3172090463181
4320,0,1,180,3,9,21,0.342890109517498,1,"6725",19.1197739950205
4321,0,1,570,12,144,41,0.557702953288145,1,"6726",35.8020612346862
4322,0,0,198,2,4,381,0.32985128079543,1,"8772",9.7391850612069
4324,0,1,116,2,4,706,0.287711300827,1,"6727",7.47981276154279
4325,52,0,193.5,2,4,32,0.341080835167993,1,"8984",14.9051571965045
4328,0,0,73.8,4,16,712,0.284317158721669,1,"7298",6.61673133186907
4329,0,0,190,4,16,39,0.352611639911695,1,"6274",16.5440233925598
4332,0,1,98,2,4,365,0.292950426697388,1,"6728",11.4579648704109
4334,0,1,41,2,4,152,0.279841728886684,1,"6729",14.3428593301002
4335,0,1,78.5,2,4,31,0.297451983823519,1,"6730",16.8870096453883
4336,0,0,89,1,1,707,0.271865727326667,1,"7418",5.49669957146634
4339,0,0,1093.75,34,1156,16,0.760942855754575,1,"1038",87.1875974889319
4341,0,1,198,11,121,88,0.390905903578615,1,"6731",27.1056699969088
4344,0,0,19.95,1,1,451,0.25669331853136,1,"2078",7.43731743188322
4345,0,1,458.95,13,169,172,0.507785176382641,1,"6732",31.1579731237514
4346,0,1,183,4,16,8,0.350999441439689,1,"6733",20.5190079761175
4347,0,1,315.5,7,49,19,0.423541074565424,1,"6734",25.4365724248137
4348,97.5,0,271,4,16,17,0.386456880889704,1,"4050",17.7624853684215
4351,0,1,409.45,9,81,2,0.475690813203133,1,"6735",29.9571530388263
4352,0,1,129,4,16,147,0.324690400718764,1,"6736",17.0194256874332
4353,0,0,543.7,19,361,44,0.56534001170539,1,"2225",40.6727244499434
4354,0,1,43.5,2,4,187,0.279545841852233,1,"6737",13.7760703044988
4355,99,1,549.35,15,225,364,0.545794156865101,1,"6738",29.3898195747403
4357,0,0,239,6,36,428,0.369497990536028,1,"758",12.0116904854036
4358,0,1,346.45,7,49,385,0.421845116488765,1,"6739",17.2787798973843
4360,19.95,0,94.5,3,9,379,0.297393938109569,1,"23",9.7424100221339
4361,0,0,25,1,1,709,0.250217362545878,1,"4505",5.24550389143999
4362,0,1,76,2,4,408,0.283583684359648,1,"6741",10.7147684413129
4364,0,0,36,1,1,19,0.276267203786062,1,"4909",13.0060899801742
4365,0,1,149.5,5,25,10,0.343746202738672,1,"6742",21.2093341593949
4367,0,1,124,3,9,35,0.320662823123844,1,"6743",18.2432300389204
4368,0,1,49.95,1,1,512,0.264845423233801,1,"6744",8.66594316578115
4370,0,1,44,1,1,14,0.279241638299747,1,"6745",15.9456987715658
4371,0,0,311.85,6,36,19,0.416128238324837,1,"5810",20.210084108038
4373,0,0,99.9,2,4,322,0.295129993876488,1,"6510",9.87346268996372
4374,0,0,137.9,7,49,136,0.345603615921051,1,"3614",16.9620863175425
4376,0,1,208,2,4,28,0.346954802427074,1,"6746",18.2256630770178
4379,34.5,1,131,4,16,296,0.32002243136379,1,"6747",14.3122464337686
4380,0,1,98,2,4,364,0.292984997526468,1,"6749",11.4721666127918
4381,28,1,19,1,1,467,0.255867634412798,1,"6750",9.00658216760361
4384,0,1,93.9,4,16,84,0.313635364780755,1,"6751",17.9345689897044
4385,0,1,258,7,49,36,0.398513170424812,1,"6752",24.2408027925279
4386,0,1,322.5,8,64,25,0.431826500890062,1,"6753",26.6644436261304
4387,0,0,124.5,4,16,22,0.327545416925168,1,"424",16.2548705220464
4389,0,0,44,1,1,31,0.278670952126244,1,"4691",12.8795409955413
4390,0,1,284.75,11,121,25,0.430145652357822,1,"6754",30.2207777464582
4392,0,1,235.5,6,36,89,0.381328197170916,1,"6755",21.4759439922633
4395,0,1,90.5,3,9,25,0.308390794840339,1,"6756",18.1095723451317
4396,57.5,1,59,2,4,93,0.288246413274347,1,"6757",15.5389318412789
4397,0,1,405,9,81,23,0.47287619885408,1,"6758",29.2558715613642
4398,0,1,184,6,36,123,0.359009064578203,1,"6759",20.1130650050432
4400,0,1,59,1,1,257,0.27636870710733,1,"6761",12.0272665516297
4401,0,1,282,3,9,379,0.370101241741,1,"6762",13.3591803892697
4404,0,1,273,9,81,42,0.415164921466995,1,"6763",26.8228060457035
4406,0,1,39.5,1,1,391,0.265218748009956,1,"6764",10.0546284604047
4407,0,1,49.5,3,9,524,0.276348255131124,1,"6765",9.68562446669917
4409,0,1,159,1,1,62,0.319712995903617,1,"6766",16.1052416532538
4410,0,1,477,9,81,28,0.504124624988056,1,"6767",30.177986441261
4411,0,0,169,3,9,179,0.332688305965864,1,"1966",13.0702569464063
4414,0,0,115.95,5,25,116,0.326728862094697,1,"6062",15.3369881521663
4415,0,0,157,4,16,20,0.340261677614292,1,"409",16.5971906048389
4418,0,1,29.5,1,1,48,0.273038061345906,1,"6768",15.1958239251431
